Story ID,Module,Screen,User Story,Acceptance Criteria,Category (AI / Non-AI),Priority,Depends On Screen
US-DOC-02,Documents,Documents (/documents),"As an investor, I want to upload and access documents so that portfolio paperwork stays centralized.",Upload adds document to library; open/download is available per item; filtered empty state offers upload CTA.,Non-AI,Medium,Documents (/documents)
US-EXP-01,Explore,Explore (/explore),"As a user, I want to browse curated opportunities so that I can discover suitable investments.","Header shows curated and available counts; cards show status, reference, city, name, unit types, completion, From price, Gross Yield Est., and 5-Yr Forecast.",Non-AI,High,Login (/) OR Bottom Nav
US-EXP-02,Explore,Explore (/explore),"As a user, I want to filter opportunities by City, Budget, and Gross Yield so that results match my interest.",Filters update result count; chips and Reset restore defaults; empty filter state is shown when no matches.,Non-AI,High,Explore (/explore)
US-EXP-03,Explore,Explore (/explore),"As a user, I want to open an opportunity for full details so that I can evaluate before contacting advisor.",Selecting an opportunity opens /explore/:id with contextual data.,Non-AI,High,Explore (/explore)
US-OPP-01,Opportunity Detail,Opportunity Detail (/explore/:id),"As a user, I want opportunity hero and at-a-glance metrics so that I can assess price, yield, and availability quickly.","Shows image, status, reference, name, developer, location, tagline, Starting price, 5Y forecast, Gross Yield Est., Completion/tenure, and Availability (units available/total).",Non-AI,High,Explore (/explore)
US-OPP-02,Opportunity Detail,Opportunity Detail (/explore/:id),"As a user, I want Why This Opportunity and Key Facts so that I understand the investment narrative and essentials.","Highlights bullets and Key Facts (developer, location/postcode, completion, tenure/lease years) are displayed.",Non-AI,High,Opportunity Detail (/explore/:id)
US-OPP-03,Opportunity Detail,Opportunity Detail (/explore/:id),"As a user, I want an illustrative Mortgage Plan on the opportunity so that I can estimate deposit, loan, and monthly cost.",Available opportunities show illustrative deposit/loan/monthly/rate with personalisation note; sold-out/closed opportunities show summary state instead of a fake live schedule.,Non-AI,High,Opportunity Detail (/explore/:id)
US-OPP-04,Opportunity Detail,Opportunity Detail (/explore/:id),"As a user, I want opportunity Projection outputs so that I can review capital growth, income, and total return horizons.","Projection section supports 5Y/10Y/15Y with capital growth, cumulative income, total return, chart/year breakdown, and assumptions.",Non-AI,High,Opportunity Detail (/explore/:id)
US-OPP-05,Opportunity Detail,Opportunity Detail (/explore/:id),"As a user, I want a clear Contact Sales action so that I can request advisor follow-up from this opportunity context.",Bottom nav is hidden; sticky Contact Sales opens advisor sheet with selected opportunity context; optional #contact deep-link opens sheet on load.,Non-AI,High,Opportunity Detail (/explore/:id)
US-CAL-01,Calculator,Calculator — Deposit Step (/calculator),"As a user, I want to enter deposit, risk appetite, and investment horizon so that the calculator can start affordability modelling.","Inputs: Deposit Amount (£), Risk Appetite (Low/Med/High → suggested LTV 55/65/75), Investment Horizon (5/10/15 years). Continue is disabled below minimum deposit (£1,000). Progress shows 5-step wizard.",Non-AI,High,Bottom Nav (Dashboard/Explore)
US-CAL-02,Calculator,Calculator — Affordability Step (/calculator),"As a user, I want to configure Mortgage vs Cash and LTV so that I can see my estimated property budget and monthly mortgage.","Inputs: Investment Type (Mortgage/Cash), LTV slider (50–80% when Mortgage), Mortgage Type (Interest-only/Repayment). Outputs: Estimated property budget, Deposit/Loan/LTV breakdown, and monthly mortgage estimate using nationality-aware illustrative rate.",Non-AI,High,Calculator — Deposit Step (/calculator)
US-CAL-03,Calculator,Calculator — Options Step (/calculator),"As a user, I want matched opportunities against my budget so that I can shortlist realistic developments.","Shows matched cards with Matches budget / Stretch badges, From price, Gross Yield, 5Y Growth; city refine chips; empty-match guidance when none fit. Selecting a card advances to Returns.",Non-AI,High,Calculator — Affordability Step (/calculator)
US-CAL-04,Calculator,Calculator — Options Step (/calculator),"As a user, I want to refine development, unit type, purchase price, and nationality so that returns use my chosen deal setup.","Refine inputs: Development, Unit Type, Purchase Price (editable), City (readonly). Investor Setup: Nationality (UK Resident / Non-UK → rates 5.25%/6.25%), Mortgage Type when mortgaged. Derived costs use yield-based rent, service charge ~0.5% value, management ~10% rent.",Non-AI,High,Calculator — Options Step (/calculator)
US-CAL-05,Calculator,Calculator — Returns Step (/calculator),"As a user, I want detailed return metrics and cash-required budget so that I understand income and upfront cost.","Outputs: Total Return (£ and % over horizon), Monthly/Annual Rental Income, Net Monthly Income, Gross Yield Y1, Initial Cash Required (deposit or full price + SDLT UK 3%/Non-UK 5% + legal £2,500), Projected Future Value, plus Quick Look narrative and CTA to full projection.",Non-AI,High,Calculator — Options Step (/calculator)
US-CAL-06,Calculator,Calculator — Projection Step (/calculator),"As a user, I want long-term projection charts and assumption details so that I can evaluate capital growth and cumulative income.","Inputs: Holding period tabs 5/10/15. Outputs: Total Return headline, Capital Growth, Cumulative net Rental Income, property-value and cumulative-income charts, year outlook. Assumptions accordion shows capital growth 4.5%/yr, rental growth 3%, mortgage rate (or N/A), management 10% of rent, service charge 0.5% of value, cost inflation 2.5%. Speak to Advisor CTA available.",Non-AI,High,Calculator — Returns Step (/calculator)
US-CAL-07,Calculator,Run Numbers (/calculator/:source/:id),"As a user, I want a seeded Run Numbers calculator from a property or opportunity so that I can model one asset with editable assumptions.","Seeded from property or explore source. Editable inputs: Property Price, Monthly Rent, Capital Growth %, Rental Growth %, Holding Period (5/10/15/20), Management Fee, Service Charge, Mortgage (annual), Reset. Outputs: Total Return £/%, Net Annual Income, Gross Yield Y1, Capital Growth £/%, Projected Future Value, Cumulative Income, Avg Net Income/Yr, and CTA back to source projection.",Non-AI,Medium,Property Detail (/property/:id) OR Opportunity Detail (/explore/:id)
US-ADV-01,Advisor Contact,Global Contact Flow,"As a user, I want to contact an advisor from key screens so that I can get assisted guidance anytime.","Contact entry points exist from Dashboard, Portfolio, Opportunity Detail, Calculator, and Profile.",Non-AI,High,Dashboard/Portfolio/Opportunity Detail/Calculator/Profile
US-ADV-02,Advisor Contact,Global Contact Flow,"As a user, I want channel choices (call/callback/email) so that I can choose my preferred communication method.","Contact sheet shows Schedule a call, Request callback, and Email; each path shows success confirmation; opportunity context included when opened from Explore detail.",Non-AI,High,Any screen with Contact CTA
US-SHELL-01,Navigation,App Shell + Bottom Nav,"As a user, I want persona-specific navigation so that I only see relevant sections.","Investor sees Overview, Portfolio, Explore, Calc, Docs; Prospect sees Explore, Calc.",Non-AI,High,Login (/)
US-EMPTY-01,Empty States,Preview/Empty States,"As product/design QA, I want empty and partial states available so that zero-data scenarios are validated.","Empty/partial states are available for Overview, Portfolio, Documents, Explore, and Calculator and visually distinguish no-data conditions.",Non-AI,Medium,Preview Hub (/preview)
